industry_code,industry,supersector_code,supersector,sector_code,sector,subsector_code,subsector
10,Technology,1010,Technology,101010,Software and Computer Services,10101010,Computer Services
10,Technology,1010,Technology,101010,Software and Computer Services,10101015,Software
10,Technology,1010,Technology,101010,Software and Computer Services,10101020,Consumer Digital Services
10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102010,Semiconductors
10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102015,Electronic Components
10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102020,Production Technology Equipment
10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102030,Computer Hardware
10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102035,Electronic Office Equipment
15,Telecommunications,1510,Telecommunications,151010,Telecommunications Equipment,15101010,Telecommunications Equipment
15,Telecommunications,1510,Telecommunications,151020,Telecommunications Service Providers,15102010,Cable Television Services
15,Telecommunications,1510,Telecommunications,151020,Telecommunications Service Providers,15102015,Telecommunications Services
20,Health Care,2010,Health Care,201010,Health Care Providers,20101010,Health Care Facilities
20,Health Care,2010,Health Care,201010,Health Care Providers,20101020,Health Care Management Services
20,Health Care,2010,Health Care,201010,Health Care Providers,20101025,Health Care Services
20,Health Care,2010,Health Care,201010,Health Care Providers,20101030,Health Care: Misc.
20,Health Care,2010,Health Care,201020,Medical Equipment and Services,20102010,Medical Equipment
20,Health Care,2010,Health Care,201020,Medical Equipment and Services,20102015,Medical Supplies
20,Health Care,2010,Health Care,201020,Medical Equipment and Services,20102020,Medical Services
20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology
20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103015,Pharmaceuticals
20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103020,Cannabis Producers
30,Financials,3010,Banks,301010,Banks,30101010,Banks
30,Financials,3020,Financial Services,302010,Finance and Credit Services,30201020,Consumer Lending
30,Financials,3020,Financial Services,302010,Finance and Credit Services,30201025,Mortgage Finance
30,Financials,3020,Financial Services,302010,Finance and Credit Services,30201030,Financial Data Providers
30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services,30202000,Diversified Financial Services
30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services,30202010,Asset Managers and Custodians
30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services,30202015,Investment Services
30,Financials,3020,Financial Services,302030,Mortgage Real Estate Investment Trusts,30203000,Mortgage REITs: Diversified
30,Financials,3020,Financial Services,302030,Mortgage Real Estate Investment Trusts,30203010,Mortgage REITs: Commercial
30,Financials,3020,Financial Services,302030,Mortgage Real Estate Investment Trusts,30203020,Mortgage REITs: Residential
30,Financials,3020,Financial Services,302040,Closed End Investments,30204000,Closed End Investments
30,Financials,3020,Financial Services,302050,Open End and Miscellaneous Investment Vehicles,30205000,Open End and Miscellaneous Investment Vehicles
30,Financials,3030,Insurance,303010,Life Insurance,30301010,Life Insurance
30,Financials,3030,Insurance,303020,Non-life Insurance,30302010,Full Line Insurance
30,Financials,3030,Insurance,303020,Non-life Insurance,30302015,Insurance Brokers
30,Financials,3030,Insurance,303020,Non-life Insurance,30302020,Reinsurance
30,Financials,3030,Insurance,303020,Non-life Insurance,30302025,Property and Casualty Insurance
35,Real Estate,3510,Real Estate,351010,Real Estate Investment and Services,35101010,Real Estate Holding and Development
35,Real Estate,3510,Real Estate,351010,Real Estate Investment and Services,35101015,Real Estate Services
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102000,Diversified REITs
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102010,Health Care REITs
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102015,Hotel and Lodging REITs
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102020,Industrial REITs
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102025,Infrastructure REITs
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102030,Office REITs
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102040,Residential REITs
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102045,Retail REITs
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102050,Storage REITs
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102060,Timber REITs
35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102070,Other Specialty REITs
40,Consumer Discretionary,4010,Automobiles and Parts,401010,Automobiles and Parts,40101010,Auto Services
40,Consumer Discretionary,4010,Automobiles and Parts,401010,Automobiles and Parts,40101015,Tires
40,Consumer Discretionary,4010,Automobiles and Parts,401010,Automobiles and Parts,40101020,Automobiles
40,Consumer Discretionary,4010,Automobiles and Parts,401010,Automobiles and Parts,40101025,Auto Parts
40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services,40201010,Education Services
40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services,40201020,Funeral Parlors and Cemetery
40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services,40201030,Printing and Copying Services
40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services,40201040,Rental and Leasing Services: Consumer
40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services,40201050,Storage Facilities
40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services,40201060,Vending and Catering Service
40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services,40201070,Consumer Services: Misc.
40,Consumer Discretionary,4020,Consumer Products and Services,402020,Household Goods and Home Construction,40202010,Home Construction
40,Consumer Discretionary,4020,Consumer Products and Services,402020,Household Goods and Home Construction,40202015,Household Furnishings
40,Consumer Discretionary,4020,Consumer Products and Services,402020,Household Goods and Home Construction,40202020,Household Appliance
40,Consumer Discretionary,4020,Consumer Products and Services,402020,Household Goods and Home Construction,40202025,Household Equipment and Products
40,Consumer Discretionary,4020,Consumer Products and Services,402030,Leisure Goods,40203010,Consumer Electronics
40,Consumer Discretionary,4020,Consumer Products and Services,402030,Leisure Goods,40203040,Electronic Entertainment
40,Consumer Discretionary,4020,Consumer Products and Services,402030,Leisure Goods,40203045,Toys
40,Consumer Discretionary,4020,Consumer Products and Services,402030,Leisure Goods,40203050,Recreational Products
40,Consumer Discretionary,4020,Consumer Products and Services,402030,Leisure Goods,40203055,Recreational Vehicles and Boats
40,Consumer Discretionary,4020,Consumer Products and Services,402030,Leisure Goods,40203060,Photography
40,Consumer Discretionary,4020,Consumer Products and Services,402040,Personal Goods,40204020,Clothing and Accessories
40,Consumer Discretionary,4020,Consumer Products and Services,402040,Personal Goods,40204025,Footwear
40,Consumer Discretionary,4020,Consumer Products and Services,402040,Personal Goods,40204030,Luxury Items
40,Consumer Discretionary,4020,Consumer Products and Services,402040,Personal Goods,40204035,Cosmetics
40,Consumer Discretionary,4030,Media,403010,Media,40301010,Entertainment
40,Consumer Discretionary,4030,Media,403010,Media,40301020,Media Agencies
40,Consumer Discretionary,4030,Media,403010,Media,40301030,Publishing
